Item,Count,Category,Type
JavaScript,37492,Language,Used
HTML/CSS,31816,Language,Used
Python,30719,Language,Used
SQL,30682,Language,Used
TypeScript,23150,Language,Used
Bash/Shell (all shells),20412,Language,Used
Java,18239,Language,Used
C#,16318,Language,Used
C++,13827,Language,Used
C,12184,Language,Used
PHP,10951,Language,Used
PowerShell,8328,Language,Used
Go,8103,Language,Used
Rust,7559,Language,Used
Kotlin,5665,Language,Used
Lua,3728,Language,Used
Dart,3594,Language,Used
Assembly,3233,Language,Used
Ruby,3147,Language,Used
Swift,2829,Language,Used
R,2595,Language,Used
Visual Basic (.Net),2499,Language,Used
MATLAB,2378,Language,Used
VBA,2248,Language,Used
Groovy,2004,Language,Used
Scala,1547,Language,Used
Perl,1482,Language,Used
GDScript,1402,Language,Used
Objective-C,1283,Language,Used
Elixir,1243,Language,Used
Haskell,1193,Language,Used
Delphi,1073,Language,Used
MicroPython,942,Language,Used
Lisp,889,Language,Used
Clojure,737,Language,Used
Julia,684,Language,Used
Zig,667,Language,Used
Fortran,665,Language,Used
Solidity,644,Language,Used
Ada,542,Language,Used
Erlang,522,Language,Used
F#,512,Language,Used
Apex,502,Language,Used
Prolog,486,Language,Used
OCaml,458,Language,Used
Cobol,413,Language,Used
Crystal,253,Language,Used
Nim,210,Language,Used
Zephyr,184,Language,Used
Python,25047,Language,Wanted
JavaScript,23774,Language,Wanted
SQL,22400,Language,Wanted
HTML/CSS,20721,Language,Wanted
TypeScript,20239,Language,Wanted
Rust,17232,Language,Wanted
Go,13837,Language,Wanted
Bash/Shell (all shells),13744,Language,Wanted
C#,12921,Language,Wanted
C++,10873,Language,Wanted
Java,10668,Language,Wanted
C,8275,Language,Wanted
Kotlin,7379,Language,Wanted
PHP,5745,Language,Wanted
PowerShell,4287,Language,Wanted
Swift,3877,Language,Wanted
Dart,3709,Language,Wanted
Zig,3688,Language,Wanted
Lua,3322,Language,Wanted
Assembly,3007,Language,Wanted
Elixir,2895,Language,Wanted
Ruby,2774,Language,Wanted
Haskell,2221,Language,Wanted
R,2177,Language,Wanted
Scala,1790,Language,Wanted
GDScript,1667,Language,Wanted
Clojure,1331,Language,Wanted
F#,1272,Language,Wanted
Julia,1263,Language,Wanted
Lisp,1255,Language,Wanted
Erlang,1137,Language,Wanted
OCaml,1080,Language,Wanted
MicroPython,1039,Language,Wanted
Visual Basic (.Net),962,Language,Wanted
Solidity,957,Language,Wanted
MATLAB,945,Language,Wanted
Groovy,849,Language,Wanted
Perl,794,Language,Wanted
VBA,723,Language,Wanted
Objective-C,686,Language,Wanted
Delphi,594,Language,Wanted
Ada,558,Language,Wanted
Nim,499,Language,Wanted
Fortran,487,Language,Wanted
Crystal,407,Language,Wanted
Cobol,399,Language,Wanted
Prolog,396,Language,Wanted
Apex,389,Language,Wanted
Zephyr,248,Language,Wanted
JavaScript,21869,Language,Admired
Python,20774,Language,Admired
SQL,20692,Language,Admired
HTML/CSS,19851,Language,Admired
TypeScript,16079,Language,Admired
Bash/Shell (all shells),12776,Language,Admired
C#,10458,Language,Admired
Java,8687,Language,Admired
C++,7339,Language,Admired
Rust,6215,Language,Admired
C,5774,Language,Admired
Go,5485,Language,Admired
PHP,4793,Language,Admired
PowerShell,3603,Language,Admired
Kotlin,3449,Language,Admired
Dart,1978,Language,Admired
Lua,1960,Language,Admired
Swift,1792,Language,Admired
Ruby,1576,Language,Admired
Assembly,1409,Language,Admired
R,1073,Language,Admired
Elixir,955,Language,Admired
GDScript,914,Language,Admired
Scala,788,Language,Admired
